"nr","type","image_id","kj","kcal","Eiweiss","Kohlenhydrate","Fett"
115,"german","k_100528",1017,243,8.4,7.6,20.7
116,"german","k_102837",2114,505,5.3,8.2,51.2
117,"german","k_102997",1122,268,15,0.8,23
118,"german","k_103982",1653,395,1.1,51,20.8
119,"german","k_104558",209,50,5.7,0.9,2.6
120,"german","k_105923",464,111,3.9,1.3,10.3
121,"german","k_106138",523,125,3.2,5.2,10.4
122,"german","k_106522",113,27,1.3,4.9,0.2
123,"german","k_107071",1938,463,2.9,12.3,45.6
124,"german","k_107204",447,107,10.9,2,6.6
125,"german","k_109558",988,236,16.7,0,19
126,"german","k_109652",1427,341,3.2,74.8,3.7
127,"german","k_110844",192,46,1.5,7.2,1.2
128,"german","k_110912",1469,351,2.3,4.2,36.6
129,"german","k_112648",1276,305,12.2,2.6,27.8
130,"german","k_113706",452,108,5.5,4.4,8
131,"german","k_114743",1163,278,5.7,14,22.4
132,"german","k_116757",272,65,0.2,2.4,6.4
133,"german","k_117957",1921,459,7.2,52.8,24.8
134,"german","k_12495",628,150,11.9,11.6,6.3
135,"german","k_13476",782,187,6.3,17.1,10.6
136,"german","k_14066",259,62,2.1,9.5,1.7
137,"german","k_14268",1557,372,2.7,34.3,25.6
138,"german","k_14279",1796,429,2.5,53.1,23.6
139,"german","k_14524",1318,315,10.2,26.3,19.1
140,"german","k_16414",1586,379,3.6,48.4,16.2
141,"german","k_16743",540,129,5,22.2,2
142,"german","k_16797",121,29,0.3,0.6,2.9
143,"german","k_17138",1628,389,8.9,51.3,16.7
144,"german","k_17750",1787,427,4,21.2,36.9
145,"german","k_17960",862,206,11.8,21.6,8.5
146,"german","k_18184",598,143,3.9,13.6,8.4
147,"german","k_19405",615,147,12.3,8.8,7.3
148,"german","k_21004",531,127,7.7,11.6,6.1
149,"german","k_22429",787,188,3.8,12.5,14
150,"german","k_22791",581,139,2.5,1.7,13.9
151,"german","k_23157",1230,294,2.2,16.8,24.6
152,"german","k_2380",1817,434,4.6,43.7,26.8
153,"german","k_24889",443,106,2.8,8.6,6.7
154,"german","k_25011",866,207,6.2,43.6,0.7
155,"german","k_25427",318,76,9.2,0.1,4.5
156,"german","k_25469",1406,336,15.9,42.7,11.2
157,"german","k_26071",1218,291,7.2,37.3,13.3
158,"german","k_27254",159,38,4.5,0.6,2
159,"german","k_29155",2156,515,11.4,5.3,50.5
160,"german","k_30278",1230,294,6.1,57.2,4.7
161,"german","k_30924",1716,410,2.9,62.7,16.7
162,"german","k_35167",1666,398,10.5,6.1,37.6
163,"german","k_35887",2486,594,0.1,0.2,66.6
164,"german","k_36035",1034,247,13.7,29.8,8.2
165,"german","k_36499",159,38,3,4.2,1.1
166,"german","k_37560",205,49,1.4,0.7,3.9
167,"german","k_37667",686,164,10.7,8,10
168,"german","k_38711",1000,239,2.3,42.2,6.9
169,"german","k_3897",787,188,1.9,14.7,13.8
170,"german","k_41239",1498,358,4.8,52.2,14.9
171,"german","k_41465",854,204,10.9,22.1,7.9
172,"german","k_44014",447,107,6.2,4.5,7.2
173,"german","k_44883",129,31,1.3,5.7,0.3
174,"german","k_45101",1733,414,1.7,2.9,44.8
175,"german","k_45291",845,202,19.3,0.4,14
176,"german","k_46447",854,204,12.6,2.3,14.8
177,"german","k_46788",912,218,2.1,16.2,16.6
178,"german","k_47728",904,216,4.9,5.6,19.9
179,"german","k_48194",519,124,3.8,6.8,9.2
180,"german","k_4826",133,32,1.3,4.1,1.4
181,"german","k_49991",2344,560,1.1,3.4,61.4
182,"german","k_50547",3047,728,2.9,20.6,71.6
183,"german","k_51012",644,154,3.9,19,7
184,"german","k_51368",468,112,7.8,9.5,4.8
185,"german","k_51432",171,41,0.3,2.2,3.7
