,recipe_id,recipe_href,kj,kcal,Eiweiss,Kohlenhydrate,Fett
0,k_100528,/rezept/266531/Honig-Basilikun-Sauce.html,1017.0,243.0,8.4,7.6,20.7
1,k_102837,/rezept/127910/gemischter-Eisbergsalat-mit-Feta.html,2114.0,505.0,5.3,8.2,51.2
2,k_102997,/rezept/399978/Brotaufstrich-Feta-Kaesecreme.html,1122.0,268.0,15.0,0.8,23.0
3,k_103982,/rezept/472769/Aprikosen-Tarte.html,1653.0,395.0,1.1,51.0,20.8
4,k_104558,/rezept/110446/Haehnchen-mit-Reis.html,209.0,50.0,5.7,0.9,2.6
5,k_105923,/rezept/422835/Zuccini-mal-anderst-als-Sosse-oder-Beilage.html,464.0,111.0,3.9,1.3,10.3
6,k_106138,/rezept/387283/Ranch-Dressing-oder-Dip-Sauce-mit-Moehren-u-Salatgurkenstiften.html,523.0,125.0,3.2,5.2,10.4
7,k_106522,/rezept/51474/Kuerbispueree-mit-Ziegenkaese-ueberbacken.html,113.0,27.0,1.3,4.9,0.2
8,k_107071,/rezept/450095/Wuerzige-Wilde-Erbsensuppe.html,1938.0,463.0,2.9,12.3,45.6
9,k_107204,/rezept/474252/Wuerziges-Mangoldgemuese-zu-NT-Putenbraten.html,447.0,107.0,10.9,2.0,6.6
10,k_109558,/rezept/173861/Chatschapuri.html,988.0,236.0,16.7,0.0,19.0
11,k_109652,/rezept/272277/Torten-Weihnachtstorte-mit-Walnuss-Sahne-und-Marzipan.html,1427.0,341.0,3.2,74.8,3.7
12,k_110844,/rezept/477751/Gebratene-Pilze-auf-geroestetem-Bauernbrot.html,192.0,46.0,1.5,7.2,1.2
13,k_110912,/rezept/375326/Bohneneintopf-mit-Bratwuerstchen.html,1469.0,351.0,2.3,4.2,36.6
14,k_112648,/rezept/366754/Putenleber-LUDMILLA.html,1276.0,305.0,12.2,2.6,27.8
15,k_113706,/rezept/379573/Blumenkohlsuppe-auf-Dieter-s-Art.html,452.0,108.0,5.5,4.4,8.0
16,k_114743,/rezept/426357/Mango-Aprikosen-Auflauf.html,1163.0,278.0,5.7,14.0,22.4
17,k_116757,/rezept/484160/Zwiebelsuppe-oder-Knoblauchsuppe.html,272.0,65.0,0.2,2.4,6.4
18,k_117957,/rezept/40078/Pumpkin-Pie.html,1921.0,459.0,7.2,52.8,24.8
19,k_12495,/rezept/197715/Schwein-Schweinefilet-mit-Honigglasur.html,628.0,150.0,11.9,11.6,6.3
20,k_13476,/rezept/399307/Nudeln-gefuellt-und-gebraten-nach-einem-Rezept-meiner-Freunde-aus-China.html,782.0,187.0,6.3,17.1,10.6
21,k_14066,/rezept/184311/Lauchsuppe.html,259.0,62.0,2.1,9.5,1.7
22,k_14268,/rezept/296121/Suesse-Baellchen-Schokolade-Kirsch-Baelle.html,1557.0,372.0,2.7,34.3,25.6
23,k_14279,/rezept/299008/Kuchen-Arabischer-Honigkuchen.html,1796.0,429.0,2.5,53.1,23.6
24,k_14524,/rezept/394395/Ricotta-Kirsch-Kuchen.html,1318.0,315.0,10.2,26.3,19.1
25,k_16414,/rezept/234111/Kirsch-Schmand-Kuchen-mit-Eierlikoerguss.html,1586.0,379.0,3.6,48.4,16.2
26,k_16743,/rezept/386318/Schupfnudelpfanne-mit-Bohnen.html,540.0,129.0,5.0,22.2,2.0
27,k_16797,/rezept/474773/Filet-Gemuese-Auflauf.html,121.0,29.0,0.3,0.6,2.9
28,k_17138,/rezept/156195/Mohn-Marzipan-Torte-meiner-Tochter-Laura.html,1628.0,389.0,8.9,51.3,16.7
29,k_17750,/rezept/333560/Bohnenauflauf-mit-Putenmedaillons.html,1787.0,427.0,4.0,21.2,36.9
30,k_17960,/rezept/383288/Kaese-Sahne-Torte.html,862.0,206.0,11.8,21.6,8.5
31,k_18184,/rezept/430621/Fruehlingsrollen.html,598.0,143.0,3.9,13.6,8.4
32,k_19405,/rezept/494752/Putenbrust-mit-Spitzkohl-und-Petersilienkartoffeln.html,615.0,147.0,12.3,8.8,7.3
33,k_21004,/rezept/449096/Wurstspatzen-in-der-Bruehe.html,531.0,127.0,7.7,11.6,6.1
34,k_22429,/rezept/139119/Schinken-Broccoli-Auflauf.html,787.0,188.0,3.8,12.5,14.0
35,k_22791,/rezept/395231/UEberbackene-Knacker.html,581.0,139.0,2.5,1.7,13.9
36,k_23157,/rezept/235286/Bulgur-Salat.html,1230.0,294.0,2.2,16.8,24.6
37,k_2380,/rezept/358379/Gluehweinwuerfel.html,1817.0,434.0,4.6,43.7,26.8
38,k_24889,/rezept/450449/Kasselerpfanne.html,443.0,106.0,2.8,8.6,6.7
39,k_25011,/rezept/325383/Wrap-Grundteig.html,866.0,207.0,6.2,43.6,0.7
40,k_25427,/rezept/315546/Gulasch-vom-Schwein.html,318.0,76.0,9.2,0.1,4.5
41,k_25469,/rezept/475542/Pasta-Broccoli-Speciale-a-la-Elchipanzi.html,1406.0,336.0,15.9,42.7,11.2
42,k_26071,/rezept/489913/Fruehlingstorte.html,1218.0,291.0,7.2,37.3,13.3
43,k_27254,/rezept/282453/Kartoffel-Moehren-Hackfleisch-Suppe.html,159.0,38.0,4.5,0.6,2.0
44,k_29155,/rezept/340743/Ceasar-Salad-Sandwich-auf-meine-Art.html,2156.0,515.0,11.4,5.3,50.5
45,k_30278,/rezept/112778/Nusskranz.html,1230.0,294.0,6.1,57.2,4.7
46,k_30924,/rezept/455193/Blaubeer-Marmorkuchen.html,1716.0,410.0,2.9,62.7,16.7
47,k_35167,/rezept/500793/Gesundes-Abendessen.html,1666.0,398.0,10.5,6.1,37.6
48,k_35887,/rezept/16192/AErpel-mit-Schlat-und-gebratene-Blutwurst.html,2486.0,594.0,0.1,0.2,66.6
49,k_36035,/rezept/295132/Spaghetti-mit-Lammrueckenfilet-und-Paprikaschaum.html,1034.0,247.0,13.7,29.8,8.2
50,k_36499,/rezept/348390/Zigeunersosse-selbst-gemacht.html,159.0,38.0,3.0,4.2,1.1
51,k_37560,/rezept/485052/Champignon-Wein-Suppe.html,205.0,49.0,1.4,0.7,3.9
52,k_37667,/rezept/321743/deftige-Schaschlikspiesse-mit-fruchtigem-Joghurt-Eisberg-Salat.html,686.0,164.0,10.7,8.0,10.0
53,k_38711,/rezept/280212/Mandarinen-Schmandkuchen.html,1000.0,239.0,2.3,42.2,6.9
54,k_3897,/rezept/169254/Erdbeeren-Becher.html,787.0,188.0,1.9,14.7,13.8
55,k_41239,/rezept/268446/Schuettel-Lebkuchen.html,1498.0,358.0,4.8,52.2,14.9
56,k_41465,/rezept/486727/Schweinerollbraten-in-Biersosse.html,854.0,204.0,10.9,22.1,7.9
57,k_44014,/rezept/358095/Orangen-Mandel-Rosenkohl.html,447.0,107.0,6.2,4.5,7.2
58,k_44883,/rezept/292445/Schweinekotlett-mit-Plaumen-Sosse-Diese-ziehen-lassen-fuer-in-paar-Stunden-bevor-grillen-Pork-Chops-Iowa-Style.html,129.0,31.0,1.3,5.7,0.3
59,k_45101,/rezept/270504/Basilikum-Knoedel.html,1733.0,414.0,1.7,2.9,44.8
60,k_45291,/rezept/196125/Hauptgerichte-Wirsing-in-Kokosmilch.html,845.0,202.0,19.3,0.4,14.0
61,k_46447,/rezept/446501/Ragu-alla-Bolognese-di-Jana.html,854.0,204.0,12.6,2.3,14.8
62,k_46788,/rezept/466340/Kuchen-Eclairs-mit-einer-Mascarpone-Erdbeerfuellung.html,912.0,218.0,2.1,16.2,16.6
63,k_47728,/rezept/286839/Kartoffel-Frischkaese-Gratin.html,904.0,216.0,4.9,5.6,19.9
64,k_48194,/rezept/108417/Kraeuterfrischkaese-auf-Baguette.html,519.0,124.0,3.8,6.8,9.2
65,k_4826,/rezept/139739/Mediterranes-Rinder-Tomaten-Gulasch.html,133.0,32.0,1.3,4.1,1.4
66,k_49991,/rezept/472229/Matjestartar-auf-Gurkensalat.html,2344.0,560.0,1.1,3.4,61.4
67,k_50547,/rezept/360191/Geduenstete-Rindsschnitzel.html,3047.0,728.0,2.9,20.6,71.6
68,k_51012,/rezept/390956/Baerchen-s-Erdbeere.html,644.0,154.0,3.9,19.0,7.0
69,k_51368,/rezept/362351/Weisse-Bohnen-Eintopf.html,468.0,112.0,7.8,9.5,4.8
70,k_51432,/rezept/112780/Indischer-Gewuerzreis.html,171.0,41.0,0.3,2.2,3.7
71,k_51982,/rezept/298853/Feine-Apfel-Wein-Torte.html,736.0,176.0,1.9,34.2,0.6
72,k_53708,/rezept/414987/Teriyaki-Huehnerbrust-mit-karamellisierten-Chili-Fenchelgemuese.html,1440.0,344.0,2.7,17.7,28.0
73,k_54840,/rezept/331080/Glasierte-Gemuesespiesse.html,2708.0,647.0,1.4,20.9,63.4
74,k_55903,/rezept/141193/Fleischsalat.html,1201.0,287.0,2.5,2.4,30.0
75,k_57642,/rezept/478794/herzhafter-Nudelauflauf.html,1406.0,336.0,9.5,21.4,24.0
76,k_5892,/rezept/442886/Orientalischer-Obstsalat-mit-Pfefferminz-und-Kardamom.html,301.0,72.0,1.4,13.7,1.0
77,k_61922,/rezept/374901/Pinienkerntaler-Tomate-Mozzarella.html,1038.0,248.0,8.2,3.2,22.9
78,k_61995,/rezept/399002/Birnen-Carpaccio.html,489.0,117.0,1.0,18.0,4.0
79,k_62438,/rezept/259797/herziger-Brotspiess.html,1004.0,240.0,7.3,48.7,1.3
80,k_62461,/rezept/274863/Birnenkuechlein.html,1390.0,332.0,7.6,66.1,0.8
81,k_62689,/rezept/470603/Nuss-Joghurt-Gugelhupf.html,1687.0,403.0,5.6,43.2,23.5
